koi_period,koi_duration,koi_depth,koi_prad,fpp_prob,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,koi_disposition
9.48803557,2.9575,615.8,2.26,0.00068,2.7e-05,0.00058,6.5e-05,CONFIRMED
9.48803557,2.9575,615.8,2.26,0.0058,0.00028,0.0051,5.6e-05,CONFIRMED
54.4183827,4.507,874.8,2.83,0.00068,2.7e-05,0.00058,6.5e-05,CONFIRMED
54.4183827,4.507,874.8,2.83,0.0058,0.00028,0.0051,5.6e-05,CONFIRMED
19.89913995,1.7822,10829.0,14.6,0.93,0.11,0.81,0.0021,CANDIDATE
1.736952453,2.40641,8079.2,33.46,1.0,4.6e-06,5.1e-07,0.0036,FALSE POSITIVE
2.525591777,1.6545,603.3,2.75,0.001,4e-05,0.00096,9e-06,CONFIRMED
11.09432054,4.5945,1517.5,3.9,3.6e-05,7.3e-10,3.3e-05,3.5e-06,CONFIRMED
11.09432054,4.5945,1517.5,3.9,6.3e-06,7.8e-13,4.8e-13,5.2e-06,CONFIRMED
11.09432054,4.5945,1517.5,3.9,7.8e-05,2.9e-16,1.7000000000000002e-12,9e-06,CONFIRMED
4.13443512,3.1402,686.0,2.77,3.6e-05,7.3e-10,3.3e-05,3.5e-06,CONFIRMED
4.13443512,3.1402,686.0,2.77,6.3e-06,7.8e-13,4.8e-13,5.2e-06,CONFIRMED
4.13443512,3.1402,686.0,2.77,7.8e-05,2.9e-16,1.7000000000000002e-12,9e-06,CONFIRMED
2.56658897,2.429,226.5,1.59,3.6e-05,7.3e-10,3.3e-05,3.5e-06,CONFIRMED
2.56658897,2.429,226.5,1.59,6.3e-06,7.8e-13,4.8e-13,5.2e-06,CONFIRMED
2.56658897,2.429,226.5,1.59,7.8e-05,2.9e-16,1.7000000000000002e-12,9e-06,CONFIRMED
7.36178958,5.022,233.7,39.21,1.0,2.3e-05,0.00038,0.031,FALSE POSITIVE
16.06864674,3.5347,4914.3,5.76,2.4e-05,1.4e-05,4.9e-07,9.7e-06,CONFIRMED
16.06864674,3.5347,4914.3,5.76,0.00075,0.00014,0.00053,3.9e-05,CONFIRMED
16.06864674,3.5347,4914.3,5.76,0.00041,1.6e-11,9.499999999999999e-24,1.5e-08,CONFIRMED
